"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Summary statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Alberta","2016A000248","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920240","10.1.3","3565.0","","","","1"
"2012","Alberta","2016A000248","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920241","10.1.4","11.5","","","","1"
"2012","British Columbia","2016A000259","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920242","11.1.1","3699.8","","","","1"
"2012","British Columbia","2016A000259","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920243","11.1.2","3338.4","","","","1"
"2012","British Columbia","2016A000259","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920244","11.1.3","1591.0","","","","1"
"2012","British Columbia","2016A000259","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920245","11.1.4","9.8","","","","1"
"2012","Yukon","2016A000260","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920246","12.1.1","30.4","","","","1"
"2012","Yukon","2016A000260","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920247","12.1.2","21.5","","","","1"
"2012","Yukon","2016A000260","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920248","12.1.3","7.7","","","","1"
"2012","Yukon","2016A000260","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920249","12.1.4","29.3","","","","1"
"2012","Northwest Territories","2016A000261","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920250","13.1.1","30.3","","","","1"
"2012","Northwest Territories","2016A000261","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920251","13.1.2","26.4","","","","1"
"2012","Northwest Territories","2016A000261","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920252","13.1.3","11.0","","","","1"
"2012","Northwest Territories","2016A000261","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920253","13.1.4","13.1","","","","1"
"2012","Nunavut","2016A000262","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920254","14.1.1","7.4","","","","1"
"2012","Nunavut","2016A000262","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920255","14.1.2","5.6","","","","1"
"2012","Nunavut","2016A000262","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920256","14.1.3","","x","","","1"
"2012","Nunavut","2016A000262","Engineering services [54133]","Operating profit margin","Percent","239","units","0","v99920257","14.1.4","25.1","","","","1"
"2013","Canada","2016A000011124","Engineering services [54133]","Operating revenue","Dollars","81","millions","6","v99920202","1.1.1","32271.3","","","","1"
"2013","Canada","2016A000011124","Engineering services [54133]","Operating expenses","Dollars","81","millions","6","v99920203","1.1.2","28731.7","","","","1"
"2013","Canada","2016A000011124","Engineering services [54133]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v99920204","1.1.3","11646.4","","","","1"
